"Country","ElectrAccess","CookAccess","AgriLand","BirthRate","CO2","CompEdu","DeathRate","FoodExports","Telephone","Internet","PopGrowth","BusinessTime","AdolFertRate","Precipitation","CorControl","EmployerPerc","FertRate","GDPperc","GDPdollars","Inflation","WaterStress","LifeExp","MortRate","PolStab","PopPerc14","VoiceAcc","WomBusiness"
"Egypt, Arab Rep.",100,99.9,3.880656989,24.562,2.294016243,12,5.511,15.79358659,7.581673414,46.92433677,1.898930768,11.5,49.099,18.1,-0.514392555,12.36304499,3.098,3.349815022,2531.200079,14.40146578,141.1657559,71.367,17.9,-1.188100696,33.43716507,-1.324804425,45
"El Salvador",97,89.6,57.70752896,16.536,1.090587479,15,6.938,17.6067855,14.7064803,43.8,0.15447668,16.5,58.197,1784,-0.586034775,4.545633824,1.849,2.262762328,4145.862351,1.090330006,2.406737367,72.555,11.9,-0.389219522,26.78941597,0.029691502,88.75
"Estonia",100,100,23.04093567,10.9,11.88893604,9,11.9,8.945479916,26.14608955,89.35700777,0.348039138,3.5,9.404,626,1.468725204,3.784389207,1.67,3.423619058,23165.84948,3.436326884,17.40844156,78.24390244,1.9,0.580257714,16.36383233,1.190116882,97.5
"Eswatini",73.96111298,53.1,69.8255814,25.718,0.952924266,7,9.324,25.97650584,3.803338079,43.7,0.781899444,30,73.158,788,-0.231745571,2.245682239,2.962,1.582707546,4021.445556,4.815061675,77.55991285,59.411,45.4,-0.377810627,36.32648313,-1.369288683,43.75
"Finland",100,100,7.475651487,8.6,8.049188427,10,9.9,2.327308111,5.85626478,88.88996,0.132641041,17,4.328,536,2.171321154,3.583018925,1.41,1.00565417,49987.62616,1.083820984,6.639791321,81.73414634,1.9,0.891700327,16.07038831,1.588881493,97.5
"France",100,100,52.34176533,11.3,4.570517428,10,9.1,12.31209324,59.32374047,82.04318678,0.358494582,3.5,8.166,867,1.281640649,4.224670355,1.87,1.500539123,41557.85486,1.850815083,23.56904868,82.67560976,3.4,0.0137935,17.83541388,1.157234788,100
"Gabon",89.57460785,88.2,8.356564598,29.004,2.335936117,10,6.986,0.233643643,0.995341266,59.6,2.391355225,31,97.637,1831,-0.858977616,2.529341291,3.679,-1.544872184,7694.906051,4.749066521,0.502166065,66.306,32.2,-0.257414043,36.62936987,-0.961687982,57.5
"Gambia, The",60.3,1.8,62.64822134,34.924,0.244507378,9,7.323,86.2427247,1.799652831,25.5,2.641376345,25,67.16,836,-0.501664221,1.473255477,4.972,4.439494294,683.3246328,6.520968239,2.209656372,63.04,36.7,-0.08758685,44.65088875,-0.215281859,69.375
"Germany",100,100,47.64153644,9.5,8.537042688,13,11.5,5.326365175,51.26862957,87.03711209,0.300526702,8,8.004,700,1.898325324,4.246992052,1.57,0.678212594,47939.27829,1.732168798,33.50191886,80.89268293,3.2,0.577707589,13.52164333,1.442795277,100
"Ghana",80.4,25.7,53.69403885,29.025,0.543393317,11,7.373,26.05736938,0.901759701,43,2.122679766,14,67.225,1187,-0.138242349,5.549460298,3.731,3.96954738,2180.029684,7.808765166,6.314734089,64.122,35.6,-0.036738522,38.1507844,0.55849874,75
"Guatemala",94.20999146,45.3,42.49160134,23.929,1.105753673,16,4.995,47.30581309,14.45737421,41.5,1.600385982,15,76.279,1996,-0.821694732,2.680575845,2.743,1.765136399,4485.752135,3.751861867,5.742097081,72.726,21.5,-0.538192272,34.55549766,-0.353329957,73.75
"Guinea-Bissau",28.3832016,1.1,28.98684211,32.657,0.165094768,9,8.401,68.54717171,0,15.7,2.372337148,8.5,93.021,1577,-1.55884099,0.728706287,4.263,-1.090777898,781.6443676,0.381324703,1.495726496,60.502,54.6,-0.684850454,41.80075425,-0.682131171,40
"Honduras",91.6,47.75,31.36115828,21.895,0.922234079,12,4.257,59.93194446,5.432575808,36.04006082,1.709728907,42,74.666,1976,-0.656966507,9.897370782,2.46,2.084618588,2457.686042,4.347349378,4.621268764,72.814,15.8,-0.531866431,32.20164201,-0.523381531,75
"Hungary",100,100,58.03199649,9.6,5.033254347,13,13.4,7.769843915,31.50181284,76.07436064,-0.126786952,7,22.762,589,0.05579298,3.504631988,1.55,5.496018792,16425.20503,2.850247926,8.494752155,76.06585366,3.5,0.737417698,14.54414898,0.48724252,93.75
"Iceland",100,100,18.56590301,12,4.817688768,10,6.4,44.2737037,35.40909941,99.01095399,2.678142769,11.5,5.699,1940,1.805385828,3.968231443,1.71,2.11737324,74452.18907,2.682917683,0.394075282,82.86097561,2.1,1.394577146,19.16001315,1.389014244,100
"Indonesia",98.51,78.5,34.03427608,17.179,2.126836838,9,7.496,20.44881686,3.109150843,39.90463864,0.966206436,21,35.293,2702,-0.299459815,3.574224515,2.234,4.162984291,3902.661676,3.198346416,29.69654528,70.338,20.8,-0.552077413,26.20426102,0.162236914,64.375
"Iran, Islamic Rep.",100,96.7,28.91525424,17.231,7.445127905,9,4.715,6.336076446,35.60219806,70.200565,1.307882209,72.5,37.878,228,-0.984159291,3.684881974,1.968,-3.113491709,3850.751253,18.01411834,81.28908129,76.195,12,-1.342144251,24.10614133,-1.330449224,31.25
"Israel",100,100,29.6349353,20.8,6.91499302,15,5,2.979557271,37.84079031,83.73315696,1.926622865,11,8.086,435,0.753771842,3.391180408,3.09,2.084470629,42406.84543,0.79407566,95.93650246,82.80243902,2.9,-0.918106616,28.27151666,0.630631924,80.625
"Italy",100,100,41.94874847,7.3,5.376940361,12,10.5,8.98693999,34.0639281,74.38718292,-0.19006364,11,4.133,832,0.215928152,6.063179095,1.29,1.11781662,34622.16967,1.137487636,29.68102917,83.34634146,2.7,0.32613951,13.25610434,0.963564575,97.5
"Jamaica",98.15042114,84.8,38.50415512,12.22,3.054588907,6,7.318,17.27427099,12.93888155,68.21451709,0.12309148,3,35.232,2051,-0.230746984,3.687564035,1.388,1.764583024,5594.493573,3.736638822,12.4734362,71.793,11.8,0.423851728,21.8973375,0.593458533,68.125
"Japan",100,100,13.02057613,7.4,8.76197885,9,11,0.943387366,50.24941019,88.74635089,-0.126880068,11.2,2.992,1668,1.388648033,1.938088555,1.42,0.771168471,39751.1331,0.989094598,36.36781609,84.21097561,1.9,1.037358642,12.24061146,0.994752228,78.75
"Jordan",99.9,99.9,11.50934895,22.999,2.362363185,10,3.15,15.23578114,3.52915611,65.2,2.365102658,12.5,27.314,111,0.123943955,3.590606438,2.973,-0.463136174,4146.407311,4.462311085,102.2261602,75.774,13.8,-0.379783809,33.92826609,-0.717258751,31.875
"Kazakhstan",100,93.7,80.02226173,21.77,11.86754957,9,7.14,5.035558064,17.29465357,78.90391906,1.314522985,5,23.582,250,-0.49207738,1.2290083,2.84,2.740536373,9812.625431,6.019130966,32.6518724,73.15,9.1,-0.052698813,28.50216735,-1.200016856,69.375
"Kenya",61.18061447,17.4,48.668166,29.18,0.385437968,12,7.305,51.21840186,0.131410727,19.5,2.032734005,23,71.298,630,-0.862696052,1.591775577,3.58,3.522084435,1845.783414,4.689819761,33.23990107,62.676,30.6,-1.179692149,40.07684657,-0.374979466,83.75
"Korea, Rep.",100,100,16.94011485,6.4,12.21645617,9,5.8,1.256763926,50.13235895,96.02285958,0.433519028,8,2.363,1274,0.573121369,6.154659917,0.977,2.462246216,33447.15628,1.47583935,85.22183304,82.62682927,2.8,0.638081014,12.75963728,0.798121333,85
"Kuwait",100,100,8.417508418,13.443,21.46122994,9,2.052,0.892403077,11.941624,99.59884959,4.55608227,35.4,5.85,121,-0.316699147,0.665505109,2.165,-2.128275932,32012.18752,0.543133148,3850.5,79.722,7.6,0.090533733,21.14305721,-0.604680121,29.375
"Kyrgyz Republic",100,77.5,54.07090719,27.1,1.788258367,10,5.2,10.66572566,5.320805323,57.1,1.99032207,10,38.73,533,-0.960398018,2.026562921,3.3,1.713209106,1308.139785,1.542661452,50.03895598,71.4,17,-0.529558122,33.73233478,-0.354460329,76.875
"Lao PDR",92.9,7.3,9.457538995,23.238,2.767597944,9,6.755,17.17468539,20.86241729,36.3,1.518707268,174,77.021,1834,-0.997076809,0.537476629,2.619,4.646555619,2553.361866,2.040392669,4.771838331,67.634,37.7,0.407829285,32.0382018,-1.750232816,85
"Latvia",100,100,31.14403715,10,4.039697505,11,15,18.1733372,13.75335162,83.57717486,-0.779138396,5.5,12.499,667,0.297805101,4.291493449,1.6,4.803913925,17865.03109,2.534454242,1.080430171,74.78292683,3.6,0.395304829,15.5239856,0.792103887,100
"Lesotho",47,39,80.14822134,27.262,1.035751771,7,13.259,10.04470639,0.378886969,40.8,1.254413132,29,92.029,788,-0.136426091,5.804050014,3.139,-2.708754074,1162.978854,4.751803016,2.565905097,53.733,60.8,-0.188686535,34.601211,0.008875524,78.125
"Lithuania",100,100,47.05412741,10,4.159315063,11,14.1,16.3516622,14.84864373,79.72258277,-0.954190459,5.5,11.603,656,0.466333061,2.395089246,1.63,4.990353856,19186.35959,2.697927792,1.834102379,75.6804878,3.3,0.729063928,14.88404113,0.901689649,93.75
"Madagascar",36.5,1.1,70.29047783,32.088,0.123102265,5,6.736,42.89549095,0.257187695,8.7,2.554077041,8,125.276,1513,-1.020541787,4.007829184,4.043,0.592066853,512.5439915,8.594229589,11.26150628,65.27,45.2,-0.578839123,40.35653606,-0.32132712,66.875
"Malawi",18.02,2,62.29316928,33.925,0.087620332,8,6.955,91.26439639,0.081620729,8,2.685561427,37,123.64,1181,-0.765652001,1.126497406,4.14,1.625495537,537.9322041,12.42017811,17.50483809,63.276,34.2,-0.431270897,44.80118095,-0.075617775,77.5
"Malaysia",99.99715424,95.2,26.08735352,15.978,7.452371382,6,5.175,9.090188089,22.92952826,81.20104862,1.31563682,13.5,9.536,2875,0.300330877,3.365904391,1.881,3.472766705,11073.97897,0.884709161,3.43948718,75.644,6.9,0.247989401,23.97011149,-0.100061126,50
"Maldives",100,99,21.33333333,15.531,3.626484917,7,2.828,98.18538904,3.829238114,70.9,3.599640348,12,8.979,1972,-0.875025868,3.376764338,1.784,4.825914398,11034.7236,-0.133373386,15.66666667,80.013,6.5,0.082971118,22.05262599,-0.675655544,73.75
"Mali",50.9,0.9,34.88309198,42.901,0.194032416,9,9.419,7.142161902,1.144243956,21.4,3.174850089,11,156.631,282,-0.711567581,0.594543965,6.183,1.473176725,856.3565966,0.299546507,8.00308642,59.393,65.9,-2.084461451,47.93382992,-0.32770136,63.75
"Malta",100,100,32.4375,9.2,3.203474816,11,7.6,8.133749951,51.9618134,81.65804429,3.491955403,16,12.223,560,0.547609329,4.424225587,1.23,3.730076267,31785.88483,1.157823625,84.62300297,82.44878049,5.5,1.271421313,13.40935259,1.100830078,88.75
"Mauritania",43.58927917,46.4,38.52721451,34.183,0.87013594,9,7.248,53.65468394,1.403957935,35.1,2.626187803,6,80.51,92,-0.812102079,5.95103713,4.607,2.056475375,1749.954236,3.067359961,13.24621733,65.31,34.7,-0.632418096,43.03761797,-0.868351042,48.125
"Mauritius",99.78661346,98.7,43.0645969,10.2,3.26641524,11,8.5,36.16602734,33.52681566,58.5961697,0.054535454,5,24.343,2041,0.186878189,3.464059587,1.41,3.950035487,11643.4606,3.216053831,21.48309706,74.41634146,13.8,0.859399259,17.99222854,0.738156199,89.375
"Moldova",99.99,97,68.63553016,13.443,3.160420552,13,13.339,57.50177076,35.27235818,50.3,-1.757004421,4,31.783,450,-0.746429086,0.190573912,1.809,5.920367182,4156.9575,3.045053973,12.42946243,70.492,12.9,-0.402226478,19.24041572,-0.109600902,87.5
"Mongolia",98.1,48.4,72.8416348,23.836,6.809659067,12,5.663,2.879429126,11.68944539,47.13000188,2.17135598,12,32.637,241,-0.448486507,1.472971739,2.923,5.430572573,4165.022821,6.824247901,3.395007342,71.199,14.4,0.831077039,31.1069785,0.244647413,85
"Morocco",98.1,98.1,68.39750661,18.813,1.789327961,9,5.637,20.62672478,6.103789513,64.80386519,1.117897027,9,27.546,346,-0.289577842,2.496765367,2.415,1.899445896,3492.672607,1.803916711,50.75121202,73.986,17.5,-0.348556757,27.47962418,-0.675675571,75.625
"Myanmar",66.10093689,31.3,20.02650529,17.869,0.622498221,5,8.622,27.62721889,0.988992636,28.7,0.719693109,14,32.988,2091,-0.612783849,4.237400643,2.213,5.506798087,1288.418087,6.872328657,5.801501397,66.465,37,-1.266946793,25.66861145,-0.900316596,58.75
"Namibia",52.32165527,45.9,47.14134752,29.008,1.778831765,7,8.403,29.55108298,5.893177813,40,1.725164552,54,68.184,285,0.307371318,6.321472942,3.462,-0.668554265,5687.381043,4.291591053,0.861552567,62.586,31.5,0.684950054,36.23835335,0.466437668,80
"Nepal",93.92,32,28.74782002,21.026,0.531081943,9,7.041,27.0802854,2.804139601,28.6,1.140549365,18.5,67.469,1500,-0.688618004,1.300761884,2.104,6.401863283,1161.53435,4.061163388,8.311832662,68.979,25.5,-0.542416573,31.41821828,-0.129691318,71.875
"Netherlands",100,100,54.14315414,9.8,8.785144105,13,8.9,14.97429196,34.13158432,91.89189189,0.583933409,3.5,2.611,778,1.888952136,3.990811223,1.59,1.764937264,53044.53244,1.703497947,16.36698361,81.81219512,3.5,0.838097334,15.9420035,1.499294758,97.5
"New Zealand",100,100,39.86935551,11.84,6.613271844,10,6.78,61.88010287,22.17617514,89,1.791240168,0.5,13.323,1732,2.135031462,3.944883253,1.71,1.687308055,43236.88669,1.598297038,8.04808476,81.70731707,4.2,1.512160897,19.5722313,1.604166865,94.375
"Nicaragua",85.21433258,54.1,42.24696693,21.704,0.764549887,7,4.605,46.56475791,4.957539539,37.6,1.405104723,14,89.65,2280,-1.023826838,5.55378405,2.404,-4.711010142,1981.858367,4.94723728,2.269773362,73.85,13.6,-0.950931132,31.04614756,-1.099699974,86.25
"Nigeria",56.5,10.7,74.87290974,38.248,0.572783212,9,13.239,1.982736756,0.070816414,38.7,2.496644904,10.9,103.466,1150,-1.083567619,1.322927551,5.447,-0.590389271,2125.834491,12.09510652,9.668217054,52.554,75.5,-2.097414255,43.89328576,-0.424289912,63.125
"North Macedonia",99.8,76.2,50.11895321,10.3,3.347723287,13,9.5,8.943512038,18.11699222,79.16775519,0.08263629,15,16.03,619,-0.392472923,4.309158354,1.42,2.795615119,6108.73917,1.458312985,52.12270087,76.64878049,7.1,-0.211983711,16.42299399,-0.025981188,85
"Norway",100,100,2.701337686,10.4,7.261315879,10,7.7,10.52021568,10.64160292,96.49165799,0.660090844,4,2.606,1414,2.050117016,1.556844335,1.56,0.165530155,82792.84271,2.764831345,2.046463878,82.75853659,2,1.120635986,17.63886588,1.708544374,96.875
"Oman",100,100,4.716930533,19.816,16.37957583,10,2.172,3.531075991,12.17648411,85.5,1.297249487,4.3,14.11,125,0.215245456,1.12580998,2.883,-0.018356673,19887.57431,0.881302104,116.7142857,77.966,9.3,0.642036438,23.00971506,-1.039815903,32.5
"Pakistan",93.39749146,46,47.93612495,28.594,0.85042708,12,6.843,20.83980642,1.335600622,15.34,1.537172403,16.5,44.908,494,-0.80138731,1.409555907,3.685,4.532445206,1620.742591,5.078057259,118.2381449,66.482,57.4,-2.253884554,37.85550582,-0.813987374,52.5
"Panama",93.8,100,29.56322459,18.814,2.381318791,11,5.013,66.59853375,17.4870248,61.80553132,1.675122976,6,74.96,2928,-0.610022247,3.139676573,2.441,1.963037727,16156.07429,0.761578359,0.90107111,77.863,13.2,0.252037287,27.27158689,0.558176339,79.375
"Paraguay",99.6,67.7,42.30339794,21.664,1.297481674,13,5.569,62.5881492,4.698720909,64.99354302,1.373970221,35,73.67,1130,-0.870616138,5.375624284,2.561,1.795951631,6242.961454,3.975610157,1.835399711,73.568,17.1,-0.086801514,29.65569966,0.031939447,94.375
"Peru",95.2,80.7,19.29577266,18.092,1.695130882,14,6.103,20.21734197,8.969693277,55.05433424,1.87582164,26,59.457,1738,-0.597704649,3.844379816,2.26,2.037249793,6912.103988,1.50915423,6.955246237,76.009,11.9,-0.276951969,27.45981983,0.215548977,95
"Poland",100,100,47.3985041,10.2,8.209531333,10,10.9,12.88813185,17.06904848,77.54173454,-0.000200133,37,10.681,600,0.62305665,4.048832674,1.46,5.945420508,15504.50894,1.812951565,33.22256836,77.60243902,3.9,0.480340898,15.20327768,0.710193098,93.75
"Portugal",100,100,40.79190028,8.5,4.809612613,12,11,11.92505256,49.30900253,74.66096815,-0.160104021,6.5,7.558,854,0.806138754,4.83782369,1.42,3.01412373,23562.55452,0.993715683,12.31571228,81.32439024,2.9,1.115095258,13.75850536,1.17851007,97.5
"Qatar",100,100,6.440382942,10.598,31.48096744,9,0.982,0.034603455,16.34014426,99.65284913,2.007081355,8.7,8.016,74,0.692682803,0.257646444,1.848,-0.776739175,66264.08117,0.255815383,431.0344828,80.898,5.5,0.649283886,13.99441652,-1.20660162,29.375
"Romania",99.82265472,100,58.30146036,10.8,3.861061715,10,13.6,9.463969794,18.66700927,70.68127793,-0.587493307,35,37.733,637,-0.22668846,1.052241971,1.76,6.653765808,12494.42358,4.625484431,6.00692819,75.35853659,6.1,0.036215875,15.95000822,0.533273637,90.625
"Russian Federation",100,81.4,13.15843626,10.9,11.49657125,11,12.5,5.459197279,20.65975074,80.86472187,-0.013066892,10.1,16.24,460,-0.869118035,1.446901494,1.579,2.815524107,11287.35449,2.878297236,4.122242749,72.66219512,5.1,-0.538375676,17.60660101,-1.070164561,73.125
"Rwanda",37.95683289,2.3,79.00283745,31.158,0.111987033,6,6.227,37.9765607,0.103416841,19.2,2.435038415,4,32.922,1212,0.535657406,0.042333724,3.994,5.925179406,768.9436612,-0.31121016,19.04397998,66.251,32.1,0.101642534,40.14546186,-1.141441464,78.125
"Sao Tome and Principe",71,2.8,43.75,29.535,0.650598077,6,5.879,74.2652496,2.507286698,30.081,1.577599603,7,82.714,3200,0.15306583,2.227442791,4.044,2.744391173,1815.605495,7.868596289,1.876146789,68.355,14.5,0.515797019,41.53749338,0.140056133,68.75
"Saudi Arabia",99.89,100,80.75373659,18.703,15.06550049,9,2.655,1.203930142,15.38461516,93.31000185,2.384150031,17.8,11.984,59,0.329810768,0.938470269,2.546,0.341212854,24175.58331,2.45814158,974.1666667,77.212,6.6,-0.660840631,26.31696841,-1.691343427,38.125
"Senegal",66,28.3,48.60541214,33.955,0.653397076,11,5.579,32.29266541,1.940576346,35.3,2.714643282,6,69.254,686,-0.046840053,1.286097623,4.584,3.364821604,1484.22707,0.460985642,16.0861244,68.097,31.9,-0.107445858,42.57060507,0.221032724,63.75
"Sierra Leone",26.1,0.7,54.71044611,33.099,0.132764622,9,9.308,45.63968845,0.055359934,15.8,2.364713067,8,109.314,2526,-0.511336386,2.59757358,4.294,1.054769013,519.6499639,16.02954477,0.495794393,59.796,85.2,-0.088885598,40.57362916,-0.182075322,63.125
"Singapore",100,100,0.924369748,8.8,8.018212077,6,5,3.249994511,34.41375202,88.16563603,0.469704299,1.5,2.348,2497,2.134553909,4.742817713,1.14,3.090075215,66836.522,0.438620118,81.38333333,83.29756098,2.1,1.468008995,12.20731008,-0.076766916,82.5
